trading_ID,trading_date,trading_closing_price,trading_volume,trading_opening_price,trading_high_price,trading_low_price,Security_security_id
82943,2023-11-07,189.57,254100,188.52,189.62,187.56,9
82945,2023-11-08,183.42,393900,184.68,184.82,182.82,9
82947,2023-11-09,184.22,225000,186.47,186.94,183.88,9
82949,2023-11-10,187,209100,185.69,187.1,184.13,9
82951,2023-11-13,187.74,246500,185.51,188,185.18,9
82953,2023-11-14,192.08,453400,190.39,192.11,189.58,9
82955,2023-11-15,189.11,296400,189,190.46,188.84,9
82957,2023-11-16,190.4,171700,190.26,190.82,189.53,9
82959,2023-11-17,193.36,255500,191.92,193.43,191.84,9
82961,2023-11-20,187.68,514000,186.77,188.53,185.82,9
82963,2023-11-21,183.21,586600,185.25,185.39,181.51,9
82965,2023-11-22,184.23,184500,184.18,184.59,183.4,9
82967,2023-11-24,188.3,214000,187.44,188.5,187.17,9
82969,2023-11-27,186.61,245400,186.1,186.96,186.1,9
82971,2023-11-28,187.16,228400,185.81,187.32,185.81,9
82973,2023-11-29,189.51,318700,190.61,191.24,189.38,9
82975,2023-11-30,189.78,189400,189.53,190,189.13,9
82977,2023-12-01,192.74,237500,190.77,192.81,190.37,9
82979,2023-12-04,187.37,331200,188.34,189.11,187.05,9
82981,2023-12-05,187.99,199600,187.7,188.98,187.5,9
82983,2023-12-06,189.89,326700,191.59,192.9,189.81,9
82985,2023-12-07,190.24,281400,190.43,190.76,187.91,9
82987,2023-12-08,187.28,471100,186.18,187.59,185.6,9
82989,2023-12-11,187.08,284600,186.81,187.71,186.28,9
82991,2023-12-12,184.8,274300,184.76,185.21,184.05,9
82993,2023-12-13,185.48,349500,184.01,186.29,183.03,9
82995,2023-12-14,183.42,521500,181.88,184.77,181.61,9
82997,2023-12-15,180.62,375300,182.81,183.04,180.59,9
82999,2023-12-18,183.28,294900,183.87,184.19,182.88,9
83001,2023-12-19,183.95,201000,184.8,185.1,183.9,9
83003,2023-12-20,179.94,429400,180.45,182.54,179.88,9
83005,2023-12-21,180.86,347200,178.78,181.24,178.58,9
83007,2023-12-22,178.53,322800,178.06,179.24,178,9
83009,2023-12-26,179.85,198500,178.53,180.37,178.53,9
83011,2023-12-27,180.72,195500,180.38,181.11,180.08,9
83013,2023-12-28,181.11,243000,181.02,181.69,180.95,9
83015,2023-12-29,183.38,223200,183.13,183.88,182.36,9
83017,2024-01-02,181.37,243700,182.15,182.9,181.16,9
83019,2024-01-03,181.55,273500,180.84,182.47,180.07,9
83021,2024-01-04,182.97,273100,183.09,184.2,182.73,9
83023,2024-01-05,187.07,336100,186,188.71,185.64,9
83025,2024-01-08,187.89,359400,187.5,188.16,186.43,9
83027,2024-01-09,185.99,254700,186.53,186.66,185.29,9
83029,2024-01-10,192.72,458100,190,192.81,189.57,9
83031,2024-01-11,194.95,361800,195.31,196.48,193.78,9
83033,2024-01-12,195.68,208000,195.06,195.98,194.8,9
83035,2024-01-16,195.6,273600,195.29,196.5,194.5,9
83037,2024-01-17,194.14,231900,193.26,194.39,193.03,9
83039,2024-01-18,200.08,413100,199.43,200.27,198.29,9
83041,2024-01-19,200.67,286400,200.1,200.7,198.85,9
83043,2024-01-22,201.42,369600,201.24,201.95,200.4,9
83045,2024-01-23,201.4,229000,200.68,202,200.68,9
83047,2024-01-24,200.72,314500,200.87,201.68,200.36,9
83049,2024-01-25,199.56,194700,200.71,200.73,198.65,9
83051,2024-01-26,198.06,194200,197.24,198.21,197.07,9
83053,2024-01-29,201.66,281100,199.68,201.85,199.08,9
83055,2024-01-30,201.85,144300,202.01,202.41,201.51,9
83057,2024-01-31,199.7,298000,202.28,202.35,199.29,9
83059,2024-02-01,202.18,168600,200.63,202.35,199.81,9
83061,2024-02-02,202.54,241200,200.9,202.64,200.54,9
