trading_id,trading_date,trading_closing_price,trading_volume,trading_opening_price,trading_high_price,trading_low_price,Security_security_id
72553,2023-10-06,445.29,606200,445.77,449.68,443.95,8
72555,2023-10-09,451.78,495700,445.00,451.78,442.06,8
72557,2023-10-10,454.51,751500,450.48,454.61,447.23,8
72559,2023-10-11,456.66,954000,453.70,457.62,446.49,8
72561,2023-10-12,459.22,1105000,457.39,461.32,454.97,8
72563,2023-10-13,462.56,843000,461.00,463.45,456.54,8
72565,2023-10-16,455.29,900100,463.56,465.90,454.25,8
72567,2023-10-17,455.25,696300,455.30,458.41,453.49,8
72569,2023-10-18,455.72,569800,457.84,460.09,454.76,8
72571,2023-10-19,453.27,600700,455.72,457.56,450.41,8
72573,2023-10-20,452.81,865100,454.15,456.11,450.22,8
72575,2023-10-23,450.00,513400,452.00,454.31,448.01,8
72577,2023-10-24,452.05,445500,451.22,454.95,448.18,8
72579,2023-10-25,453.00,466900,453.66,455.42,449.68,8
72581,2023-10-26,451.64,519600,451.45,456.72,448.01,8
72583,2023-10-27,448.03,527400,449.94,451.86,445.41,8
72585,2023-10-30,449.43,594300,448.58,451.12,444.04,8
72587,2023-10-31,455.36,756600,451.75,456.23,447.74,8
72589,2023-11-01,459.59,1320500,453.55,465.14,453.55,8
72591,2023-11-02,447.60,1252400,441.17,451.66,433.22,8
72593,2023-11-03,452.76,868300,447.94,462.89,447.94,8
72595,2023-11-06,460.01,822500,452.50,464.49,452.50,8
72597,2023-11-07,458.04,556500,461.25,461.66,455.00,8
72599,2023-11-08,460.67,740600,459.51,464.55,458.64,8
72601,2023-11-09,461.86,553800,460.67,465.03,460.10,8
72603,2023-11-10,469.29,739900,462.85,469.97,462.85,8
72605,2023-11-13,470.64,452100,469.26,473.18,466.54,8
72607,2023-11-14,453.82,1186100,466.60,469.00,453.01,8
72609,2023-11-15,446.38,1625400,452.90,453.82,438.81,8
72611,2023-11-16,450.78,1131200,447.94,453.80,447.90,8
72613,2023-11-17,450.20,860800,452.75,454.05,448.98,8
72615,2023-11-20,452.97,777000,447.95,455.41,447.95,8
72617,2023-11-21,454.31,755600,455.16,457.51,452.56,8
72619,2023-11-22,457.45,554000,454.08,459.66,454.08,8
72621,2023-11-24,461.37,219500,460.00,462.27,458.34,8
72623,2023-11-27,461.89,781800,462.74,466.45,461.80,8
72625,2023-11-28,461.60,637900,462.96,466.99,461.00,8
72627,2023-11-29,456.70,787700,460.42,461.47,455.42,8
72629,2023-11-30,470.56,2212300,455.26,471.12,453.79,8
72631,2023-12-01,464.65,809400,472.46,476.35,464.32,8
72633,2023-12-04,459.30,909000,463.91,466.24,457.83,8
72635,2023-12-05,460.79,906700,460.21,462.21,456.61,8
72637,2023-12-06,457.59,821300,459.68,459.68,450.02,8
72639,2023-12-07,455.66,622100,458.67,458.67,453.59,8
72641,2023-12-08,457.89,733400,457.27,458.10,450.98,8
72643,2023-12-11,461.98,647800,461.18,463.92,459.09,8
72645,2023-12-12,462.14,679800,463.42,464.96,461.26,8
72647,2023-12-13,460.80,814000,463.12,468.25,457.37,8
72649,2023-12-14,441.68,2156200,450.86,451.69,436.83,8
72651,2023-12-15,439.47,3743500,439.39,440.81,431.35,8
72653,2023-12-18,447.54,804500,443.47,448.43,441.68,8
72655,2023-12-19,448.03,848900,448.25,449.72,444.51,8
72657,2023-12-20,445.96,722400,450.00,450.16,445.52,8
72659,2023-12-21,452.71,559000,447.25,453.08,445.06,8
